ingredient_id,category_path
168,"Cozinha Asiática >> Molhos, Pastas e Óleos"
169,"Cozinha Asiática >> Molhos, Pastas e Óleos"
170,Carnes e Aves >> Aves
171,Frescos >> Vegetais
172,Mercearia >> Especiarias e Temperos
173,Mercearia >> Especiarias e Temperos
174,Frescos >> Ervas e Aromáticos
175,Mercearia >> Especiarias e Temperos
176,Mercearia >> Especiarias e Temperos
177,Frescos >> Vegetais
178,Mercearia >> Leguminosas
179,Mercearia >> Especiarias e Temperos
180,Frescos >> Vegetais
181,Frescos >> Vegetais
182,Frescos >> Vegetais
183,Mercearia >> Especiarias e Temperos
184,Padaria
185,Frescos >> Ervas e Aromáticos
186,Mercearia >> Frutos Secos e Passas
187,Laticínios e Ovos
188,"Mercearia >> Grãos, Massa e Arroz"
189,Mercearia >> Farinhas e Pastelaria
190,Laticínios e Ovos
191,Peixe e Marisco >> Marisco
192,"Mercearia >> Grãos, Massa e Arroz"
193,"Cozinha Asiática >> Arroz, Massa e Wraps"
194,Cozinha Asiática >> Outros
195,Mercearia >> Frutos Secos e Passas
196,Peixe e Marisco >> Peixe Fresco
197,"Cozinha Asiática >> Arroz, Massa e Wraps"
198,Carnes e Aves >> Carne de Vaca
199,Carnes e Aves >> Carne de Vaca
200,Peixe e Marisco >> Marisco
201,Bebidas
202,Mercearia >> Molhos e Condimentos
203,Mercearia >> Especiarias e Temperos
204,Mercearia >> Especiarias e Temperos
205,Bebidas
206,Mercearia >> Especiarias e Temperos
207,"Mercearia >> Grãos, Massa e Arroz"
208,Mercearia >> Molhos e Condimentos
209,"Cozinha Asiática >> Molhos, Pastas e Óleos"
210,Frescos >> Vegetais
211,"Cozinha Asiática >> Molhos, Pastas e Óleos"
212,"Cozinha Asiática >> Molhos, Pastas e Óleos"
213,"Cozinha Asiática >> Molhos, Pastas e Óleos"
214,Frescos >> Vegetais
215,Mercearia >> Caldos e Sopas
216,"Cozinha Asiática >> Arroz, Massa e Wraps"
217,Congelados
218,"Cozinha Asiática >> Molhos, Pastas e Óleos"
219,"Cozinha Asiática >> Molhos, Pastas e Óleos"
220,"Cozinha Asiática >> Molhos, Pastas e Óleos"
221,Padaria
222,Carnes e Aves >> Carne de Porco e Enchidos
223,Mercearia >> Molhos e Condimentos
224,Laticínios e Ovos
225,Mercearia >> Molhos e Condimentos
226,Mercearia >> Óleos e Vinagres
227,Carnes e Aves >> Carne de Vaca
228,Laticínios e Ovos
229,Padaria
230,Peixe e Marisco >> Peixe Fresco
231,Laticínios e Ovos
232,Mercearia >> Conservas e Enlatados
233,Frescos >> Vegetais
234,"Mercearia >> Grãos, Massa e Arroz"
235,Peixe e Marisco >> Peixe Fresco
236,Frescos >> Vegetais
237,Mercearia >> Conservas e Enlatados
238,Congelados
239,"Mercearia >> Grãos, Massa e Arroz"
240,Mercearia >> Farinhas e Pastelaria
241,Laticínios e Ovos
242,Padaria
243,Mercearia >> Especiarias e Temperos
244,Bebidas
245,Mercearia >> Caldos e Sopas
246,Frescos >> Vegetais
247,Mercearia >> Frutos Secos e Passas
248,Mercearia >> Frutos Secos e Passas
249,Mercearia >> Especiarias e Temperos
250,Carnes e Aves >> Aves
251,Mercearia >> Molhos e Condimentos
252,Frescos >> Frutas
255,Padaria
256,Laticínios e Ovos
257,Cozinha Asiática >> Outros
